age,weight,height,arm_span,wins_count,wins_knockouts_count,wins_submissions_count,wins_judges_decisions_count,defeats_count,defeats_knockouts_count,defeats_submissions_count,defeats_judges_decisions_count
34,90,196,196,16,12,0,4,0,0,0,0
36,90,186,193,47,31,0,16,5,1,0,4
36,90,186,187,27,18,0,9,0,0,0,0
36,90,185,190,15,14,0,1,1,0,0,0
36,90,180,184,23,13,0,10,6,3,0,3
36,90,183,188,29,25,0,4,4,4,0,0
37,90,191,203,26,24,0,2,2,1,0,1
39,90,186,190,28,20,0,8,2,0,0,2
31,90,196,210,19,14,0,5,1,0,0,1
28,90,188,193,24,19,0,5,0,0,0,0
0,70,172,0,7,3,3,1,6,3,3,0
33,79,185,185,17,10,0,7,3,0,0,3
41,79,179,183,36,20,0,16,7,2,0,5
30,79,183,183,23,22,0,1,3,2,0,1
30,79,188,189,17,13,0,4,0,0,0,0
34,79,183,193,28,22,0,6,5,2,0,3
33,79,187,192,25,16,0,9,2,1,0,1
33,79,191,198,29,21,0,8,2,1,0,1
32,79,189,191,45,30,0,15,1,0,0,1
39,79,182,185,20,20,0,0,0,0,0,0
33,79,183,183,22,11,0,11,0,0,0,0
28,59,170,173,24,9,0,15,1,0,0,1
33,59,168,0,34,8,0,26,3,0,0,3
36,59,173,173,28,19,0,9,2,2,0,0
28,59,177,177,27,21,0,6,5,3,0,2
30,59,174,183,20,11,0,9,2,0,0,0
32,59,175,175,17,9,0,8,0,0,0,0
35,59,179,178,17,8,0,9,2,0,0,2
32,76,185,185,14,8,0,6,0,0,0,0
31,76,180,180,17,4,0,13,0,0,0,0
28,76,185,0,30,21,0,9,0,0,0,0
39,76,188,189,34,25,0,11,3,2,0,1
29,76,183,188,22,16,0,6,1,1,0,0
28,76,174,183,24,20,0,4,0,0,0,0
36,76,185,199,9,8,0,1,0,0,0,0
35,76,175,183,32,18,0,14,7,2,0,5
31,76,185,188,22,13,0,9,2,1,0,1
29,59,174,0,17,14,0,3,1,0,0,1
27,76,184,189,28,24,0,4,0,0,0,0
32,59,175,170,16,10,0,6,2,1,0,1
33,76,179,173,60,39,0,21,2,0,0,2
33,59,166,168,31,23,0,8,2,0,0,2
26,61,170,173,20,10,0,10,0,0,0,0
32,57,173,175,18,9,0,9,2,2,0,0
30,57,165,173,13,8,0,5,1,0,0,1
38,57,165,168,44,31,0,13,12,5,0,7
40,84,178,0,37,4,15,18,19,5,2,12
30,47,162,0,17,11,0,6,4,1,0,0
33,47,162,0,40,24,0,16,0,0,0,0
33,47,155,155,24,9,0,15,0,0,0,0
29,65,172,0,12,6,2,4,4,1,1,2
35,57,164,163,31,18,0,13,2,0,0,2
33,57,170,170,27,16,0,11,3,2,0,1
33,57,170,170,31,8,0,23,2,1,0,1
26,57,170,0,26,19,0,7,3,1,0,2
28,57,168,173,24,16,0,8,2,0,0,2
33,57,179,179,36,22,0,14,1,0,0,1
29,57,170,183,38,31,0,7,1,0,0,1
40,73,175,191,29,17,0,12,3,0,0,3
38,73,175,171,14,10,0,4,5,0,0,5
29,73,180,185,23,18,0,5,1,0,0,1
38,73,184,190,16,13,0,3,3,1,0,2
34,73,180,184,32,23,0,9,3,1,0,2
30,73,182,182,15,10,0,5,0,0,0,0
27,73,183,0,43,34,0,9,0,0,0,0
36,73,183,187,32,19,0,13,1,1,0,0
41,73,179,178,42,37,0,5,2,0,0,2
24,58,170,0,15,4,7,4,0,0,0,0
33,73,185,187,33,22,0,11,0,0,0,0
49,110,185,196,20,15,1,4,11,7,0,4
32,77,190,0,13,9,0,4,3,2,1,0
29,77,183,0,22,3,13,6,2,0,1,1
27,84,185,0,9,3,2,4,6,1,0,5
39,77,185,0,25,9,9,7,13,1,5,7
34,84,188,192,26,17,3,6,8,1,4,3
33,84,183,185,17,5,6,6,6,1,2,3
27,70,178,175,12,6,5,1,1,0,0,1
24,52,160,160,8,6,0,2,3,1,0,2
32,70,175,176,0,0,0,0,2,0,0,2
34,77,183,193,15,10,3,2,7,5,1,1
33,77,175,188,27,14,2,11,7,0,3,4
30,77,178,183,15,9,2,4,0,0,0,0
31,93,188,0,15,13,2,0,3,1,1,1
28,70,175,185,14,7,6,1,2,0,2,0
33,65,175,178,18,2,11,5,5,3,0,2
33,69,177,0,19,10,3,6,7,3,3,1
